origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
Concepcion,Santo Tome,96068.0454887,313696.1252887,105262.4973187,515026.6680961
Concepcion,Sauce,96068.0454887,150621.8266223,73063.9984597,319753.8705707
Curuzu Cuatia,Corrientes,30906.1577404,297265.5024696,73051.6273269,401223.2875369
Curuzu Cuatia,Bella Vista,30906.1577404,260322.8478452,93055.6682672,384284.6738529
Curuzu Cuatia,Beron de Astrada,30906.1577404,291691.6389550,52954.4878530,375552.2845484
Curuzu Cuatia,Concepcion,30906.1577404,150621.8266223,96068.0454887,277596.0298514
Curuzu Cuatia,Curuzu Cuatia,30906.1577404,0.0000000,96068.0454887,277596.0298514
Curuzu Cuatia,Empedrado,30906.1577404,150621.8266223,43033.8597195,224561.8440822
Curuzu Cuatia,Esquina,30906.1577404,161681.8518805,73525.3653756,266113.3749965
Curuzu Cuatia,Alvear,30906.1577404,123292.6602260,54225.0886254,208423.9065918
Curuzu Cuatia,Caa Cati,30906.1577404,291691.6389550,53874.0239636,376471.8206591
Curuzu Cuatia,Goya,30906.1577404,260322.8478452,110438.4221223,401667.4277080
Curuzu Cuatia,Itati,30906.1577404,275282.2976713,11574.0400685,317762.4954803
Curuzu Cuatia,Ituzaingo,30906.1577404,347777.9463775,89019.6438611,467703.7479791
Curuzu Cuatia,Lavalle,30906.1577404,260322.8478452,106240.8772861,397469.8828718
Curuzu Cuatia,Mburucuya,30906.1577404,150621.8266223,70259.0236677,251787.0080305
Curuzu Cuatia,Mercedes,30906.1577404,150621.8266223,120958.4717359,302486.4560986
Curuzu Cuatia,Monte Caseros,30906.1577404,150621.8266223,120958.4717359,302486.4560986
Curuzu Cuatia,Paso de los Libres,30906.1577404,123292.6602260,42843.1171416,197041.9351080
Curuzu Cuatia,Saladas,30906.1577404,150621.8266223,25493.9973584,207021.9817211
Curuzu Cuatia,San Cosme,30906.1577404,297265.5024696,97866.5581670,426038.2183770
Curuzu Cuatia,San Luis del Palmar,30906.1577404,150621.8266223,98360.0311749,279888.0155376
Curuzu Cuatia,La Cruz,30906.1577404,123292.6602260,42936.8868004,197135.7047668
Curuzu Cuatia,San Miguel,30906.1577404,291691.6389550,54043.1459510,376640.9426464
Curuzu Cuatia,San Roque,30906.1577404,150621.8266223,29716.4568725,211244.4412352
Curuzu Cuatia,Santo Tome,30906.1577404,347777.9463775,105262.4973187,483946.6014367
Curuzu Cuatia,Sauce,30906.1577404,347777.9463775,105262.4973187,483946.6014367
Empedrado,Corrientes,43033.8597195,146643.6758473,73051.6273269,262729.1628937
Empedrado,Bella Vista,43033.8597195,109701.0212230,93055.6682672,245790.5492097
Empedrado,Beron de Astrada,43033.8597195,184947.2754912,52954.4878530,280935.6230637
Empedrado,Concepcion,43033.8597195,184947.2754912,52954.4878530,280935.6230637
Empedrado,Curuzu Cuatia,43033.8597195,150621.8266223,30906.1577404,224561.8440822
Empedrado,Empedrado,43033.8597195,0.0000000,30906.1577404,224561.8440822
Empedrado,Esquina,43033.8597195,312303.6785027,73525.3653756,428862.9035979
Empedrado,Alvear,43033.8597195,273914.4868482,54225.0886254,371173.4351932
Empedrado,Caa Cati,43033.8597195,184947.2754912,53874.0239636,281855.1591743
Empedrado,Goya,43033.8597195,109701.0212230,110438.4221223,263173.3030648
Empedrado,Itati,43033.8597195,124660.4710490,11574.0400685,179268.3708370
Empedrado,Ituzaingo,43033.8597195,313696.1252887,89019.6438611,445749.6288693
Empedrado,Lavalle,43033.8597195,109701.0212230,106240.8772861,258975.7582285
Empedrado,Mburucuya,43033.8597195,109701.0212230,106240.8772861,258975.7582285
Empedrado,Mercedes,43033.8597195,109701.0212230,106240.8772861,258975.7582285
Empedrado,Monte Caseros,43033.8597195,150621.8266223,95745.4085424,289401.0948842
Empedrado,Paso de los Libres,43033.8597195,273914.4868482,42843.1171416,359791.4637093
Empedrado,Saladas,43033.8597195,273914.4868482,42843.1171416,359791.4637093
Empedrado,San Cosme,43033.8597195,146643.6758473,97866.5581670,287544.0937338
Empedrado,San Luis del Palmar,43033.8597195,146643.6758473,97866.5581670,287544.0937338
Empedrado,La Cruz,43033.8597195,273914.4868482,42936.8868004,359885.2333681
Empedrado,San Miguel,43033.8597195,184947.2754912,54043.1459510,282024.2811617
Empedrado,San Roque,43033.8597195,184947.2754912,54043.1459510,282024.2811617
Empedrado,Santo Tome,43033.8597195,313696.1252887,105262.4973187,461992.4823269
Empedrado,Sauce,43033.8597195,150621.8266223,73063.9984597,266719.6848015
Esquina,Corrientes,73525.3653756,423016.4788432,73051.6273269,569593.4715456
Esquina,Bella Vista,73525.3653756,275595.2810599,93055.6682672,442176.3147027
Esquina,Beron de Astrada,73525.3653756,453373.4908355,52954.4878530,579853.3440641
Esquina,Concepcion,73525.3653756,312303.6785027,96068.0454887,481897.0893670
Esquina,Curuzu Cuatia,73525.3653756,161681.8518805,30906.1577404,266113.3749965
Esquina,Empedrado,73525.3653756,312303.6785027,43033.8597195,428862.9035979
